content_id,content_type,language,genre,run_time
CJSMBEACT2e633,Movie,Bengali,Action,90
CJSMBEACT34aec,Movie,Bengali,Action,135
CJSMBEACT83b46,Movie,Bengali,Action,120
CJSMBECOM12e7a,Movie,Bengali,Comedy,120
CJSMBECOM5431a,Movie,Bengali,Comedy,135
CJSMBECOMcef10,Movie,Bengali,Comedy,120
CJSMBEDRA3f060,Movie,Bengali,Drama,150
CJSMBEDRA46aa5,Movie,Bengali,Drama,90
CJSMBEDRA73058,Movie,Bengali,Drama,120
CJSMBEDRA79ce1,Movie,Bengali,Drama,135
CJSMBEDRA9a726,Movie,Bengali,Drama,180
CJSMBEDRAa18a0,Movie,Bengali,Drama,120
CJSMBEDRAa5c89,Movie,Bengali,Drama,120
CJSMBEDRAc906a,Movie,Bengali,Drama,135
CJSMBEDRAda274,Movie,Bengali,Drama,120
CJSMBEDRAde98b,Movie,Bengali,Drama,120
CJSMBEDRAec743,Movie,Bengali,Drama,135
CJSMBEFAN32a83,Movie,Bengali,Fantasy,120
CJSMBEFAN5adb5,Movie,Bengali,Fantasy,150
CJSMBEFAN9ac36,Movie,Bengali,Fantasy,135
CJSMBEROM29b4f,Movie,Bengali,Romance,90
CJSMBEROM329ec,Movie,Bengali,Romance,120
CJSMBEROM3e538,Movie,Bengali,Romance,135
CJSMBEROM43bcc,Movie,Bengali,Romance,135
CJSMBEROM50389,Movie,Bengali,Romance,120
CJSMBEROM6c4d9,Movie,Bengali,Romance,120
CJSMBEROMeaa25,Movie,Bengali,Romance,90
CJSMBESCI14486,Movie,Bengali,Sci-Fi,135
CJSMBETHR31a11,Movie,Bengali,Thriller,135
CJSMBETHR3b468,Movie,Bengali,Thriller,120
CJSMBETHR7f34f,Movie,Bengali,Thriller,180
CJSMBETHR98ac8,Movie,Bengali,Thriller,135
CJSMBETHRaaffe,Movie,Bengali,Thriller,120
CJSMBETHRba1a7,Movie,Bengali,Thriller,120
CJSMBETHRd986e,Movie,Bengali,Thriller,120
CJSMENACT0331c,Movie,English,Action,90
CJSMENACT0874b,Movie,English,Action,150
CJSMENACT08eef,Movie,English,Action,120
CJSMENACT0b071,Movie,English,Action,120
CJSMENACT0d817,Movie,English,Action,120
CJSMENACT0dc6b,Movie,English,Action,120
CJSMENACT0ff71,Movie,English,Action,120
CJSMENACT10b2a,Movie,English,Action,120
CJSMENACT1e511,Movie,English,Action,120
CJSMENACT1f1b5,Movie,English,Action,150
CJSMENACT1f870,Movie,English,Action,135
CJSMENACT1fa2c,Movie,English,Action,90
CJSMENACT2f1dc,Movie,English,Action,120
CJSMENACT2fa29,Movie,English,Action,120
CJSMENACT2facb,Movie,English,Action,90
CJSMENACT36b0b,Movie,English,Action,120
CJSMENACT36de0,Movie,English,Action,135
CJSMENACT37452,Movie,English,Action,90
CJSMENACT3869f,Movie,English,Action,135
CJSMENACT3997b,Movie,English,Action,135
CJSMENACT425fd,Movie,English,Action,150
CJSMENACT4396a,Movie,English,Action,135
CJSMENACT449c7,Movie,English,Action,120
CJSMENACT450a6,Movie,English,Action,120
CJSMENACT4c979,Movie,English,Action,120
CJSMENACT4cc6b,Movie,English,Action,135
CJSMENACT4cf18,Movie,English,Action,90
CJSMENACT4e92d,Movie,English,Action,120
CJSMENACT51f17,Movie,English,Action,135
CJSMENACT5217b,Movie,English,Action,150
CJSMENACT53408,Movie,English,Action,150
CJSMENACT5408a,Movie,English,Action,150
CJSMENACT55478,Movie,English,Action,120
CJSMENACT58818,Movie,English,Action,135
CJSMENACT59bca,Movie,English,Action,180
CJSMENACT59fc8,Movie,English,Action,120
CJSMENACT5e7db,Movie,English,Action,150
CJSMENACT617c3,Movie,English,Action,120
CJSMENACT68c5e,Movie,English,Action,90
CJSMENACT6a6db,Movie,English,Action,180
CJSMENACT6e933,Movie,English,Action,90
CJSMENACT6f7a3,Movie,English,Action,120
CJSMENACT6fc09,Movie,English,Action,90
CJSMENACT73655,Movie,English,Action,135
CJSMENACT75f85,Movie,English,Action,90
CJSMENACT78192,Movie,English,Action,120
CJSMENACT79e21,Movie,English,Action,120
CJSMENACT7a2d2,Movie,English,Action,180
CJSMENACT7a8f6,Movie,English,Action,120
CJSMENACT87faf,Movie,English,Action,120
CJSMENACT8b2fa,Movie,English,Action,135
CJSMENACT8dae6,Movie,English,Action,180
CJSMENACT8fbf1,Movie,English,Action,120
CJSMENACT907a9,Movie,English,Action,90
CJSMENACT93106,Movie,English,Action,135
CJSMENACT93126,Movie,English,Action,150
CJSMENACT960e8,Movie,English,Action,150
CJSMENACT97577,Movie,English,Action,135
CJSMENACT978b5,Movie,English,Action,150
CJSMENACT981b6,Movie,English,Action,120
CJSMENACT9b237,Movie,English,Action,120
CJSMENACT9fa31,Movie,English,Action,135
CJSMENACTa1eb0,Movie,English,Action,120
CJSMENACTa21e4,Movie,English,Action,90
CJSMENACTa35d8,Movie,English,Action,90
CJSMENACTa724e,Movie,English,Action,90
CJSMENACTa83e1,Movie,English,Action,120
CJSMENACTb0547,Movie,English,Action,90
CJSMENACTb4e45,Movie,English,Action,90
CJSMENACTb6d05,Movie,English,Action,120
CJSMENACTb768b,Movie,English,Action,90
CJSMENACTb78fe,Movie,English,Action,120
CJSMENACTb894e,Movie,English,Action,120
CJSMENACTbf17a,Movie,English,Action,90
CJSMENACTc2915,Movie,English,Action,135
CJSMENACTc6210,Movie,English,Action,120
CJSMENACTc9bd4,Movie,English,Action,120
CJSMENACTccf3e,Movie,English,Action,135
CJSMENACTd55bd,Movie,English,Action,120
CJSMENACTdbfe6,Movie,English,Action,135
CJSMENACTde215,Movie,English,Action,135
CJSMENACTde257,Movie,English,Action,120
CJSMENACTe0699,Movie,English,Action,120
CJSMENACTe325c,Movie,English,Action,120
CJSMENACTe3263,Movie,English,Action,120
CJSMENACTe611b,Movie,English,Action,120
